x,y,date,driver_number,led_num
-4,2462,2023-08-27T12:59:00.795Z,24,46
-105,2201,2023-08-27T12:59:00.795Z,27,46
16,2518,2023-08-27T12:59:00.795Z,31,46
-120,2164,2023-08-27T12:59:00.795Z,40,46
-55,2332,2023-08-27T12:59:00.795Z,44,46
408,3530,2023-08-27T12:59:00.795Z,55,49
416,3548,2023-08-27T12:59:00.795Z,63,49
-40,2369,2023-08-27T12:59:00.795Z,77,46
399,3507,2023-08-27T12:59:00.795Z,81,49
407,3525,2023-08-27T12:59:01.015Z,1,49
306,3264,2023-08-27T12:59:01.015Z,2,48
306,3264,2023-08-27T12:59:01.015Z,4,48
305,3264,2023-08-27T12:59:01.015Z,10,48
430,3586,2023-08-27T12:59:01.015Z,11,49
313,3283,2023-08-27T12:59:01.015Z,14,48
-52,2338,2023-08-27T12:59:01.015Z,16,46
305,3264,2023-08-27T12:59:01.015Z,18,48
1032,4857,2023-08-27T12:59:01.015Z,20,52
-118,2167,2023-08-27T12:59:01.015Z,22,46
416,3549,2023-08-27T12:59:01.015Z,23,49
-4,2462,2023-08-27T12:59:01.015Z,24,46
-105,2201,2023-08-27T12:59:01.015Z,27,46
16,2518,2023-08-27T12:59:01.015Z,31,46
-120,2164,2023-08-27T12:59:01.015Z,40,46
-55,2332,2023-08-27T12:59:01.015Z,44,46
408,3530,2023-08-27T12:59:01.015Z,55,49
416,3548,2023-08-27T12:59:01.015Z,63,49
-40,2369,2023-08-27T12:59:01.015Z,77,46
399,3507,2023-08-27T12:59:01.015Z,81,49
407,3525,2023-08-27T12:59:01.175Z,1,49
306,3265,2023-08-27T12:59:01.175Z,2,48
306,3264,2023-08-27T12:59:01.175Z,4,48
305,3264,2023-08-27T12:59:01.175Z,10,48
430,3586,2023-08-27T12:59:01.175Z,11,49
313,3283,2023-08-27T12:59:01.175Z,14,48
-52,2338,2023-08-27T12:59:01.175Z,16,46
305,3264,2023-08-27T12:59:01.175Z,18,48
1032,4857,2023-08-27T12:59:01.175Z,20,52
-118,2167,2023-08-27T12:59:01.175Z,22,46
416,3549,2023-08-27T12:59:01.175Z,23,49
-4,2462,2023-08-27T12:59:01.175Z,24,46
-105,2201,2023-08-27T12:59:01.175Z,27,46
16,2518,2023-08-27T12:59:01.175Z,31,46
-120,2164,2023-08-27T12:59:01.175Z,40,46
-55,2332,2023-08-27T12:59:01.175Z,44,46
408,3530,2023-08-27T12:59:01.175Z,55,49
416,3548,2023-08-27T12:59:01.175Z,63,49
-40,2369,2023-08-27T12:59:01.175Z,77,46
399,3507,2023-08-27T12:59:01.175Z,81,49
407,3525,2023-08-27T12:59:01.494Z,1,49
308,3269,2023-08-27T12:59:01.494Z,2,48
306,3264,2023-08-27T12:59:01.494Z,4,48
305,3264,2023-08-27T12:59:01.494Z,10,48
430,3586,2023-08-27T12:59:01.494Z,11,49
313,3283,2023-08-27T12:59:01.494Z,14,48
-52,2338,2023-08-27T12:59:01.494Z,16,46
305,3264,2023-08-27T12:59:01.494Z,18,48
1032,4857,2023-08-27T12:59:01.494Z,20,52
-118,2167,2023-08-27T12:59:01.494Z,22,46
416,3549,2023-08-27T12:59:01.494Z,23,49
-4,2462,2023-08-27T12:59:01.494Z,24,46
-105,2201,2023-08-27T12:59:01.494Z,27,46
16,2518,2023-08-27T12:59:01.494Z,31,46
-120,2164,2023-08-27T12:59:01.494Z,40,46
-55,2332,2023-08-27T12:59:01.494Z,44,46
408,3530,2023-08-27T12:59:01.494Z,55,49
416,3548,2023-08-27T12:59:01.494Z,63,49
-40,2369,2023-08-27T12:59:01.494Z,77,46
399,3507,2023-08-27T12:59:01.494Z,81,49
407,3525,2023-08-27T12:59:01.674Z,1,49
308,3272,2023-08-27T12:59:01.674Z,2,48
306,3264,2023-08-27T12:59:01.674Z,4,48
305,3264,2023-08-27T12:59:01.674Z,10,48
430,3586,2023-08-27T12:59:01.674Z,11,49
313,3283,2023-08-27T12:59:01.674Z,14,48
-52,2338,2023-08-27T12:59:01.674Z,16,46
305,3264,2023-08-27T12:59:01.674Z,18,48
1032,4857,2023-08-27T12:59:01.674Z,20,52
-118,2167,2023-08-27T12:59:01.674Z,22,46
416,3549,2023-08-27T12:59:01.674Z,23,49
-4,2462,2023-08-27T12:59:01.674Z,24,46
-105,2201,2023-08-27T12:59:01.674Z,27,46
16,2518,2023-08-27T12:59:01.674Z,31,46
